42-46-16-511100-001-01 512 12   2  2    2   2  2   2   
42-46-16-511100-001-01 62                              
42-46-16-511100-001-01 72                              
19-26-42-801102-001-01 111  2   2  2    2   2  2   2   
19-26-42-801102-001-01 212 12   2  2    2   2  2   2   
19-26-42-801102-001-01 312 12   2  2    2   2  2   2   
19-26-42-801102-001-01 412 12   2  2    2   2  2   2   
19-26-42-801102-001-01 5                               
19-26-42-801102-001-01 62                              
86-26-96-591114-001-01 112 22   2  2    2   2  2   2   
86-26-96-591114-001-01 211  2   2  2    2   2  2   1  0
86-26-96-591114-001-01 312 22   2  2    2   2  2   2   
02-37-07-591114-001-02 211  2   2  2    2   2  1  02   
66-86-03-221116-001-01 111  2   2  2    2   2  2   2   
66-86-03-221116-001-01 211  2   2  2    2   2  1  12   
66-86-03-221116-001-01 412 22   2  2    2   2  2   2   
66-86-03-221116-001-01 512 22   2  2    2   2  2   2   
66-86-03-221116-001-01 612 22   2  2    2   2  2   2   
66-86-03-221116-001-01 712 22   2  2    2   2  2   2   
93-26-69-751118-001-01 111  2   2  2    2   2  2   2   
93-26-69-751118-001-01 211  2   2  2    2   2  1  11  4
93-26-69-751118-001-01 411  2   2  2    2   2  2   2   
93-26-69-751118-001-01 511  2   2  2    2   2  1  12   
90-93-28-881119-001-02 212 62   2  2    2   2  1  12   
90-93-28-881119-001-02 312 62   2  2    2   2  1  12   
90-93-28-881119-001-02 411  2   2  2    2   2  1  12   
90-93-28-881119-001-02 512 62   2  2    2   2  2   2   
90-93-28-881119-001-02 611  2   2  2    2   2  1  12   
90-93-28-881119-001-02 712 62   2  2    2   2  2   2   
90-93-28-881119-001-02 812 62   2  2    2   2  1  12   
90-93-28-881119-001-02 912 62   2  2    2   2  2   2   
90-93-28-881119-001-021012 62   2  2    2   2  1  12   
90-93-28-881119-001-021112 62   2  2    2   2  1  12   
90-93-28-881119-001-021212 62   2  2    2   2  1  12   
88-29-40-911120-001-02 211  2   2  2    2   2  1  02   
88-29-40-911120-001-02 312 22   2  2    2   2  1  02   
88-29-40-911120-001-02 512 22   2  2    2   2  2   2   
45-81-76-581122-001-02 211  2   2  2    2   2  1  32   
45-81-76-581122-001-02 312 22   2  2    2   2  2   2   
45-81-76-581122-001-02 412 22   2  2    2   2  2   2   
08-25-45-411134-001-01 111  2   2  2    2   2  2   2   
08-25-45-411134-001-01 211  2   2  2    2   2  1  12   
43-81-40-331134-001-03 311  2   2  2    2   2  2   2   
43-81-40-331134-001-03 611  2   2  2    2   2  2   2   
43-81-40-331134-001-03 812 62   2  2    2   2  2   2   
43-81-40-331134-001-03 912 62   2  2    2   2  2   2   
43-81-40-331134-001-031012 62   2  2    2   2  2   2   
43-81-40-331134-001-03112                              
43-81-40-331134-001-03122                              
43-81-40-331134-001-031311  2   2  2    2   2  1  12   
69-30-97-631135-001-01 111  2   2  2    2   2  2   2   
69-30-97-631135-001-01 211  2   2  2    2   2  1  32   
69-30-97-631135-001-01 311  2   2  2    2   2  1  22   
54-29-44-611140-001-01 112 22   2  2    2   2  2   2   
54-29-44-611140-001-01 211  2   2  2    2   2  1  02   
54-29-44-611140-001-01 412 22   2  2    2   2  2   2   
54-29-44-611140-001-01 512 22   2  2    2   2  1  02   
11-40-59-091140-001-03 111  2   2  2    2   2  2   2   
11-40-59-091140-001-03 211  2   2  2    2   2  1  02   
11-40-59-091140-001-03 312 12   2  2    2   2  2   2   
11-40-59-091140-001-03 42                              
39-14-27-761142-001-01 111  2   2  2    2   2  2   2   
39-14-27-761142-001-01 211  2   2  2    2   2  1  42   
39-14-27-761142-001-01 312 22   2  2    2   2  1  12   
39-14-27-761142-001-01 412 22   2  2    2   2  2   2   
31-67-12-821152-001-01 111  2   2  2    2   2  1  11  1
13-35-77-181154-001-01 111  2   2  2    2   2  1  52   
31-48-95-021155-001-01 112 22   2  2    2   2  2   2   
31-48-95-021155-001-01 211  2   2  2    2   2  2   1  1
31-48-95-021155-001-01 312 22   2  2    2   2  1  42   
31-48-95-021155-001-01 412 22   2  2    2   2  1  12   
31-48-95-021155-001-01 512 22   2  2    2   2  2   2   
84-59-93-681158-001-01 111  2   2  2    2   2  1  12   
11-98-95-751158-001-02 211  2   2  2    2   2  1  12   
11-98-95-751158-001-02 311  2   2  2    2   2  1  11  1
11-98-95-751158-001-02 412 22   2  2    2   2  2   2   
11-98-95-751158-001-02 511  2   2  2    2   2  2   2   
11-98-95-751158-001-02 612 22   2  2    2   2  2   2   
11-98-95-751158-001-02 711  2   2  2    2   2  2   2   
39-24-29-811159-001-01 111  2   2  2    2   2  2   1  2
25-97-26-141162-001-01 111  2   2  2    2   2  2   2   
25-97-26-141162-001-01 211  2   2  2    2   2  2   2   
25-97-26-141162-001-01 312 12   2  2    2   2  2   2   
25-97-26-141162-001-01 412 12   2  2    2   2  2   2   
39-23-26-661171-001-01 111  2   2  2    2   2  2   2   
39-23-26-661171-001-01 212 12   2  2    2   2  2   2   
39-23-26-661171-001-01 312 12   2  2    2   2  2   2   
33-16-62-691172-001-03 311  2   2  2    2   2  2   2   
05-00-83-241173-001-01 111  2   2  2    2   2  1  11 20
05-00-83-241173-001-01 212 12   2  2    2   2  1  11 20
82-77-98-121174-001-01 111  2   2  2    2   2  1  22   
53-94-37-891177-001-01 111  2   2  2    2   2  1  32   
53-94-37-891177-001-01 212 12   2  2    2   2  2   2   
53-94-37-891177-001-01 411  2   2  2    2   2  1  12   
53-94-37-891177-001-01 512 12   2  2    2   2  2   2   
53-94-37-891177-001-01 612 12   2  2    2   2  1  12   
53-94-37-891177-001-01 72                              
62-86-62-481177-001-03 111  2   2  2    2   2  2   2   
62-86-62-481177-001-03 22                              
72-14-75-361179-001-01 111  2   2  2    2   2  2   2   
72-14-75-361179-001-01 711  2   2  2    2   2  2   2   
72-14-75-361179-001-01 82                              
72-14-75-361179-001-01 912 12   2  2    2   2  2   2   
34-57-74-201179-001-02 111  2   2  2    2   2  2   2   
34-57-74-201179-001-02 211  2   2  2    2   2  2   2   
34-57-74-201179-001-02 32                              
34-57-74-201179-001-02 42                              
93-52-49-511179-001-06 111  2   2  2    2   2  2   2   
63-91-22-931191-001-01 112 22   2  2    2   2  2   2   
63-91-22-931191-001-01 211  2   2  2    2   2  1  12   
63-91-22-931191-001-01 312 22   2  2    1  52  2   2   
63-91-22-931191-001-01 412 22   2  2    2   2  1  12   
63-91-22-931191-001-01 512 22   2  2    2   2  1  12   
63-91-22-931191-001-01 62                              
63-91-22-931191-001-01 72                              
60-74-37-271192-001-01 111  2   2  2    2   2  2   2   
60-74-37-271192-001-01 212 12   2  2    2   2  2   2   
60-74-37-271192-001-01 312 12   2  2    2   2  2   2   
60-74-37-271192-001-01 412 12   2  2    2   2  2   2   
09-26-67-921193-001-01 111  2   2  2    2   2  2   2   
09-26-67-921193-001-01 211  2   2  2    2   2  2   1  2
09-26-67-921193-001-01 312 12   2  2    2   2  2   2   
09-26-67-921193-001-01 411  2   2  2    2   2  2   2   
09-26-67-921193-001-01 511  2   2  2    2   2  2   2   
09-26-67-921193-001-01 612 12   2  2    2   2  2   2   
94-86-36-141194-001-01 112 32   2  2    2   2  2   2   
94-86-36-141194-001-01 211  2   2  2    2   2  1  12   
94-86-36-141194-001-01 311  2   2  2    2   2  2   2   
94-86-36-141194-001-01 511  2   2  2    2   2  1  12   
94-86-36-141194-001-01 611  2   2  2    2   2  1  12   
25-38-03-951194-001-04 112 22   2  2    2   2  2   2   
