14-88-21-2898855ffce9a4466fa1be7f67411cef092020-12-28T12:58:3719193  92 10        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-28T15:12:36114114434
15-14-18-986cb0f62882a34c72a57342836c312efc2021-01-14T14:17:5419193  32  6       14**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-14T14:40:05111123334
15-18-34-06cdd34ce87a194d1bb7bc95833d35d4282020-12-23T11:37:3753531 253  7      303**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-23T08:40:29144114414
15-18-39-59ef86d8e7554b46fb82edf7e517f76ba82021-07-23T09:33:50 7 72  12  3       23**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-23T06:34:11144144444
15-37-10-998d30be71117040fab4ce9e26f8af0e142020-12-21T12:54:5724243 231  3        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-22T10:40:32111442434
15-38-21-027affc2474ff6432bad68f8b8c5970a972021-07-13T11:34:4610102 151  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-13T08:44:10111141114
15-43-13-32945b2a0ed9164eb3a924315fe1c2ca882021-08-03T14:56:10 9 94 221  1        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-03T11:28:34144141114
15-72-61-48792ce303f61f45c98f419dde9a9a4bee2021-02-04T11:38:26 7 72  52  2       37**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-02-04T08:42:15111143334
15-76-36-378692a2b4c2b24b708e632d07f4a07d4b2021-05-24T10:24:0252521 281  2        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-24T07:24:14444114414
15-95-84-19f29231969a5b4af5882eb895873225ed2021-01-27T11:36:59 7 74                **CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-27T10:05:38111111114
16-03-65-146c497bddf9cc44eaa74d041b7ad246002021-06-15T09:39:1015153 123  1      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-06-16T06:53:05144444114
16-08-16-733d35bf342bf14c76b74a5d292014ae382021-03-02T10:30:38 8 81 183  2      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-02T06:20:04111134444
16-19-85-8540e816918f534ced9e7310dbe18172fc2021-07-15T14:18:57 2 21  61  2        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-15T09:11:16133343334
16-49-36-99143e4faef10f4210a3c7a5f405c773762021-07-04T11:57:5521216  63  4      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-05T09:31:21111111114
16-88-05-297e5434541642423aa74fd8c546af937d2021-05-28T10:06:38 6 61 153  4        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-29T07:05:15244444114
17-36-03-69652a993227894c51aec492470b9e69e82021-03-23T12:05:4325255 153  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-23T11:54:08111141114
17-40-86-49ded7f5d9f403414eb52ebbe5382344072021-01-15T17:16:45 3 33 181  3        5**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-15T14:17:06144444444
17-79-17-0985ac9c3be9684f3cbffdc03b912a532e2021-03-20T15:23:0114141 321  8        5**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-20T12:23:22244144444
17-89-27-016cd5004547c24ce9a0f8509b2da272dc2021-01-09T10:27:37 7 72 252  6       22**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-09T07:29:58144142424
18-08-37-11ba8d153ebaa84813be93fac74236fb222021-05-06T14:27:00 7 72 142  2       14**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-21T10:21:02111343334
18-17-35-5051ebc08efcb44960bee0a3c4a55713f22021-01-20T13:42:27 7 73 262  1       27**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-20T12:11:47111141114
18-25-05-22294278e5b2914a92ad69e606a81584ec2021-08-09T11:11:2951512 283  3      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-09T09:09:04444114414
18-31-12-38d8e858a01bf644b6bb6f617974e342312021-09-24T12:05:59 4 44 133  6      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-09-24T09:58:32444441114
18-57-85-561e7edef68d3b4de28554d101fdd30f502021-11-27T16:43:55 2 22  33  4        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-09-15T08:51:01111143334
18-69-36-931cee32c5e8a94f2c99a2cd662929c7182021-01-29T15:43:51 9 93  83  7      315**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-29T12:32:10113111114
19-25-14-508a69d6d3a47e40b3947804870c16d97f2021-07-15T09:44:06 1 14 101  2        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-15T09:26:56111133334
19-32-48-588e0afcd96b0c4a548378d1ce71419c822021-03-03T10:04:10 7 71 232  6        9**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-03T07:15:12111441144
19-41-11-33be0d3fe60bf44e029bca424bed2b58352021-02-18T10:14:22 1 15 151  2        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-02-18T07:28:02144344144
