31-32-30-422089-001-01 1MAHINDI          111 1 11                          1681  1682                                 1  9500
52-18-39-522090-001-01 1MAHINDI          111 1 11                           101   202                                 1   800
52-18-39-522090-001-01 2MAHINDI          112 9 11                           101   202                                 2      
73-31-47-952102-001-01 1MAHINDI          111 1 11                           981   982                                 1  7500
02-38-53-952103-001-01 1MAHINDI          111 1 11                          9001  9002                                 1  8000
34-93-93-402105-001-01 1400              111 1 11                          4001  4002                                 1 20000
82-80-81-612105-001-02 1MAHINDI          111 1 11                          2401  2402                                 1 12000
21-33-89-792107-001-01 1MAHINDI          111 1 11                          3501  3502                                 1 35000
21-33-89-792107-001-01 2MUHOGO           211 1 21                          1081  1082                                 1 20000
08-12-12-352108-001-01 1MAHINDI          111 1 11                          1371  1572                                 1 10990
46-01-30-672109-001-01 1MAHINDI          111 1 11                           601   602                                 1  6000
89-05-97-182110-001-01 1MAHINDI          111 1 11                           651   702                                 1  4000
19-03-71-262121-001-01 1MAHINDI          111 1 11                           761   802                                 1  8000
72-87-81-322122-001-01 1MAHINDI          111 1 11                           491   622                                 1  4500
72-87-81-322122-001-01 2MAHINDI          112 9 11                           121   622                                 2      
72-87-81-322122-001-01 3MUHOGO           211 1 21                          3841  4802                                 1  9600
62-47-33-372123-001-01 1MAHINDI          111 1 11                          2251  2372                                 1 23700
37-05-92-602124-001-01 1MAHINDI          111 1 11                            31    32                                 2      
37-05-92-602124-001-01 2MUHOGO           211 1 21                          1001  1002                                 1 10000
85-54-66-362125-001-01 1MAHINDI          111 1 11                          4851  4902                                 1 15000
35-74-58-192126-001-01 1MAHINDI          111 1 11                          2001  2002                                 1 20000
94-09-90-452127-001-01 1MAHINDI          111 1 11                          2161  2162                                 1 12000
41-24-37-002128-001-01 1MAHINDI          111 1 11                           481   602                                 1  1300
41-24-37-002128-001-01 2MAHINDI          112 9 11                           121   602                                 2      
96-25-27-682140-001-01 1MCHIKICHI        441 3 44                           202   502                                 2      
60-98-83-842141-001-01 1MAHINDI          111 1 11                           191   202                                 1  1000
49-89-60-442142-001-01 1MCHIKICHI        441 3 44                           152  1252                                 2      
49-89-60-442142-001-01 2MCHIKICHI        44214 44                           251  1252                                 2      
47-33-48-342143-001-01 1MAHINDI          111 1 11                           481   602                                 1   800
47-33-48-342143-001-01 2MAHINDI          112 9 11                           121   602                                 2      
41-90-49-082143-001-02 1MAHINDI          111 1 11                           321   402                                 1  4800
41-90-49-082143-001-02 2MAHINDI          112 9 11                            81   402                                 2      
41-90-49-082143-001-02 3MUHOGO           211 1 21                          1921  2402                                 2      
42-74-37-602144-001-01 1MAHINDI          111 1 11                           361   402                                 1  2000
88-95-93-562146-001-01 1MAHINDI          111 1 11                          3451  3502                                 1 18000
37-02-89-812146-001-03 1MAHINDI          111 1 11                           141   152                                 1   600
82-49-19-232159-001-01 1MAHINDI          111 1 11                          2521  2522                                 1 13860
43-91-81-402161-001-03 1MAHINDI          111 1 11                           301   302                                 1  1000
43-24-82-622165-001-01 1MAHINDI          111 1 11                          1201  1202                                 1  6000
79-35-82-232166-001-01 1MAHINDI          111 1 11                           401   402                                 1  6000
14-48-48-942180-001-01 1MAHINDI          111 1 11                          1081  1082                                 1  6000
82-21-30-392181-001-01 1MAHINDI          111 1 11                          2001  2002                                 1 12000
09-99-32-012182-001-01 1MAHINDI          111 1 11                          1101  1202                                 1 15000
81-89-19-212183-001-01 1MAHINDI          111 1 11                          3601  3602                                 1 18000
97-20-56-672184-001-01 1MAHINDI          111 1 11                           401   402                                 1  8000
01-60-89-942185-001-01 1MAHINDI          111 1 11                          4801  4802                                 1 24000
50-12-34-352197-001-01 1MAHINDI          111 1 11                         10001 10002                                 1 50000
50-12-34-352197-001-01 2MUHOGO           211 1 21                           401   402                                 1  2000
54-85-06-092198-001-02 1MAHINDI          111 1 11                          7511  7512                                 1 20500
54-85-06-092198-001-02 2KARANGA          431 2 43                           581  1762                                 2      
54-85-06-092198-001-02 3KARANGA          43216 43                          1181  1762                                 2      
01-99-19-152198-001-03 1MAHINDI          111 1 11                           401   502                                 1  2500
01-99-19-152198-001-03 2MAHINDI          112 9 11                           101   502                                 2      
